airline,orignum,deptime,depdelay,arrdelay,cancelled,distance
19393.00,83.00,0.00,0.00,0.00,1.00,447.00
19393.00,83.00,0.00,0.00,0.00,1.00,822.00
19393.00,83.00,0.00,0.00,0.00,1.00,414.00
19393.00,83.00,0.00,0.00,0.00,1.00,414.00
19393.00,83.00,0.00,0.00,0.00,1.00,337.00
19393.00,83.00,0.00,0.00,0.00,1.00,337.00
19393.00,83.00,0.00,0.00,0.00,1.00,337.00
19393.00,83.00,0.00,0.00,0.00,1.00,337.00
19393.00,83.00,0.00,0.00,0.00,1.00,447.00
19393.00,83.00,0.00,0.00,0.00,1.00,447.00
19393.00,83.00,0.00,0.00,0.00,1.00,447.00
19393.00,83.00,0.00,0.00,0.00,1.00,372.00
19393.00,83.00,0.00,0.00,0.00,1.00,372.00
19393.00,83.00,0.00,0.00,0.00,1.00,372.00
19393.00,83.00,0.00,0.00,0.00,1.00,372.00
19393.00,83.00,0.00,0.00,0.00,1.00,358.00
19393.00,83.00,0.00,0.00,0.00,1.00,358.00
19393.00,83.00,0.00,0.00,0.00,1.00,338.00
19393.00,83.00,0.00,0.00,0.00,1.00,372.00
19393.00,83.00,0.00,0.00,0.00,1.00,372.00
19393.00,83.00,0.00,0.00,0.00,1.00,372.00
19393.00,83.00,0.00,0.00,0.00,1.00,372.00
19393.00,84.00,0.00,0.00,0.00,1.00,920.00
19393.00,84.00,0.00,0.00,0.00,1.00,583.00
19805.00,68.00,0.00,0.00,0.00,1.00,1464.00
19930.00,65.00,0.00,0.00,0.00,1.00,253.00
19930.00,65.00,0.00,0.00,0.00,1.00,253.00
19930.00,83.00,0.00,0.00,0.00,1.00,1050.00
20409.00,80.00,0.00,0.00,0.00,1.00,1179.00
20409.00,82.00,0.00,0.00,0.00,1.00,1068.00
20409.00,77.00,0.00,0.00,0.00,1.00,1121.00
20409.00,77.00,0.00,0.00,0.00,1.00,1053.00
20409.00,83.00,0.00,0.00,0.00,1.00,1053.00
20409.00,72.00,0.00,0.00,0.00,1.00,972.00
20409.00,77.00,0.00,0.00,0.00,1.00,972.00
20366.00,70.00,0.00,0.00,0.00,1.00,483.00
20366.00,65.00,0.00,0.00,0.00,1.00,312.00
20366.00,68.00,0.00,0.00,0.00,1.00,312.00
20366.00,79.00,0.00,0.00,0.00,1.00,462.00
20366.00,67.00,0.00,0.00,0.00,1.00,871.00
20366.00,77.00,0.00,0.00,0.00,1.00,604.00
20366.00,77.00,0.00,0.00,0.00,1.00,1008.00
20366.00,77.00,0.00,0.00,0.00,1.00,1045.00
20366.00,76.00,0.00,0.00,0.00,1.00,419.00
20366.00,77.00,0.00,0.00,0.00,1.00,854.00
20366.00,65.00,0.00,0.00,0.00,1.00,780.00
20366.00,79.00,0.00,0.00,0.00,1.00,296.00
20366.00,67.00,0.00,0.00,0.00,1.00,622.00
20366.00,68.00,0.00,0.00,0.00,1.00,789.00
20366.00,84.00,0.00,0.00,0.00,1.00,789.00
20366.00,73.00,0.00,0.00,0.00,1.00,191.00
20366.00,79.00,0.00,0.00,0.00,1.00,177.00
20366.00,68.00,0.00,0.00,0.00,1.00,541.00
20366.00,68.00,0.00,0.00,0.00,1.00,349.00
20437.00,65.00,0.00,0.00,0.00,1.00,577.00
20398.00,76.00,0.00,0.00,0.00,1.00,109.00
20398.00,83.00,0.00,0.00,0.00,1.00,109.00
20398.00,76.00,0.00,0.00,0.00,1.00,552.00
20398.00,79.00,0.00,0.00,0.00,1.00,552.00
20398.00,79.00,0.00,0.00,0.00,1.00,416.00
20398.00,79.00,0.00,0.00,0.00,1.00,416.00
20398.00,82.00,0.00,0.00,0.00,1.00,835.00
20304.00,76.00,0.00,0.00,0.00,1.00,337.00
20304.00,79.00,0.00,0.00,0.00,1.00,337.00
20304.00,67.00,0.00,0.00,0.00,1.00,833.00
20304.00,76.00,0.00,0.00,0.00,1.00,86.00
20304.00,68.00,0.00,0.00,0.00,1.00,113.00
20304.00,83.00,0.00,0.00,0.00,1.00,86.00
20304.00,83.00,0.00,0.00,0.00,1.00,222.00
20304.00,83.00,0.00,0.00,0.00,1.00,86.00
20304.00,83.00,0.00,0.00,0.00,1.00,190.00
20304.00,83.00,0.00,0.00,0.00,1.00,373.00
20304.00,70.00,0.00,0.00,0.00,1.00,223.00
20304.00,82.00,0.00,0.00,0.00,1.00,260.00
20304.00,83.00,0.00,0.00,0.00,1.00,190.00
20304.00,83.00,0.00,0.00,0.00,1.00,1211.00
20304.00,83.00,0.00,0.00,0.00,1.00,222.00
20304.00,67.00,0.00,0.00,0.00,1.00,86.00
20304.00,71.00,0.00,0.00,0.00,1.00,408.00
20304.00,77.00,0.00,0.00,0.00,1.00,408.00
20304.00,77.00,0.00,0.00,0.00,1.00,1081.00
20304.00,79.00,0.00,0.00,0.00,1.00,1081.00
20304.00,68.00,0.00,0.00,0.00,1.00,125.00
20304.00,67.00,0.00,0.00,0.00,1.00,391.00
20304.00,65.00,0.00,0.00,0.00,1.00,125.00
20304.00,67.00,0.00,0.00,0.00,1.00,230.00
20304.00,65.00,0.00,0.00,0.00,1.00,250.00
20304.00,86.00,0.00,0.00,0.00,1.00,132.00
20355.00,83.00,0.00,0.00,0.00,1.00,2521.00
20355.00,73.00,0.00,0.00,0.00,1.00,912.00
19977.00,66.00,0.00,0.00,0.00,1.00,200.00
19977.00,83.00,0.00,0.00,0.00,1.00,2457.00
19977.00,83.00,0.00,0.00,0.00,1.00,2704.00
19977.00,76.00,0.00,0.00,0.00,1.00,1379.00
19977.00,72.00,0.00,0.00,0.00,1.00,2398.00
19977.00,79.00,0.00,0.00,0.00,1.00,2338.00
19977.00,66.00,0.00,0.00,0.00,1.00,2704.00
19977.00,83.00,0.00,0.00,0.00,1.00,2338.00
20355.00,67.00,0.00,0.00,0.00,1.00,544.00
20355.00,68.00,0.00,0.00,0.00,1.00,500.00
20355.00,83.00,0.00,0.00,0.00,1.00,1262.00
20355.00,67.00,0.00,0.00,0.00,1.00,912.00
20355.00,74.00,0.00,0.00,0.00,1.00,2153.00
20355.00,83.00,0.00,0.00,0.00,1.00,651.00
20355.00,82.00,0.00,0.00,0.00,1.00,130.00
19393.00,66.00,0.00,0.00,0.00,1.00,325.00
19393.00,66.00,0.00,0.00,0.00,1.00,296.00
19393.00,66.00,0.00,0.00,0.00,1.00,577.00
19393.00,76.00,0.00,0.00,0.00,1.00,223.00
19393.00,76.00,0.00,0.00,0.00,1.00,370.00
19393.00,76.00,0.00,0.00,0.00,1.00,308.00
19393.00,77.00,0.00,0.00,0.00,1.00,802.00
19393.00,77.00,0.00,0.00,0.00,1.00,990.00
19393.00,77.00,0.00,0.00,0.00,1.00,861.00
19393.00,79.00,0.00,0.00,0.00,1.00,325.00
19393.00,79.00,0.00,0.00,0.00,1.00,646.00
19393.00,79.00,0.00,0.00,0.00,1.00,333.00
19393.00,80.00,0.00,0.00,0.00,1.00,651.00
19393.00,83.00,0.00,0.00,0.00,1.00,2295.00
19393.00,83.00,0.00,0.00,0.00,1.00,304.00
19393.00,83.00,0.00,0.00,0.00,1.00,447.00
19393.00,83.00,0.00,0.00,0.00,1.00,447.00
19393.00,83.00,0.00,0.00,0.00,1.00,480.00
19393.00,83.00,0.00,0.00,0.00,1.00,371.00
19393.00,83.00,0.00,0.00,0.00,1.00,372.00
19393.00,83.00,0.00,0.00,0.00,1.00,372.00
